"地域等_番号","地域等_地域","区分","男女計","男女計_男","男女計_女","年齢階層別_15～29歳","年齢階層別_30～34","年齢階層別_35～39","年齢階層別_40～44","年齢階層別_45～49","年齢階層別_50～54","年齢階層別_55～59","年齢階層別_60～64","年齢階層別_65～69","年齢階層別_70～74","年齢階層別_75～79","年齢階層別_80～84","年齢階層別_85歳以上","平均年齢（歳）"
"30.0","和歌山県","1.0","32500.0","17480.0","15020.0","470.0","501.0","748.0","1024.0","1253.0","2006.0","2807.0","4655.0","5678.0","4796.0","4160.0","3037.0","1365.0","65.4"
"201.0","和歌山市","2.0","2735.0","1523.0","1212.0","28.0","38.0","38.0","41.0","65.0","125.0","198.0","436.0","556.0","440.0","383.0","262.0","125.0","67.2"
"202.0","海南市","3.0","2129.0","1171.0","958.0","25.0","21.0","52.0","64.0","73.0","144.0","183.0","321.0","385.0","333.0","259.0","195.0","74.0","65.4"
"203.0","橋本市","4.0","1411.0","772.0","639.0","5.0","11.0","15.0","19.0","20.0","44.0","87.0","209.0","295.0","231.0","232.0","150.0","93.0","69.2"
"204.0","有田市","5.0","1516.0","801.0","715.0","14.0","22.0","33.0","55.0","62.0","121.0","153.0","241.0","282.0","201.0","150.0","129.0","53.0","64.4"
"205.0","御坊市","6.0","1112.0","608.0","504.0","32.0","29.0","42.0","34.0","60.0","80.0","121.0","147.0","178.0","131.0","113.0","99.0","46.0","62.8"
"206.0","田辺市","7.0","3612.0","1905.0","1707.0","87.0","66.0","116.0","156.0","191.0","290.0","350.0","431.0","489.0","515.0","468.0","324.0","129.0","63.6"
"207.0","新宮市","8.0","78.0","49.0","29.0","-","-","-","3.0","3.0","-","2.0","8.0","15.0","19.0","14.0","9.0","5.0","70.6"
"208.0","紀の川市","9.0","4859.0","2521.0","2338.0","37.0","58.0","81.0","119.0","159.0","252.0","373.0","754.0","925.0","727.0","648.0","494.0","232.0","66.8"
"209.0","岩出市","10.0","593.0","326.0","267.0","4.0","4.0","7.0","14.0","14.0","20.0","40.0","90.0","123.0","106.0","90.0","46.0","35.0","67.9"
"304.0","紀美野町","11.0","550.0","310.0","240.0","2.0","-","3.0","11.0","11.0","19.0","34.0","61.0","100.0","88.0","90.0","91.0","40.0","70.5"
"341.0","かつらぎ町","12.0","1676.0","868.0","808.0","23.0","21.0","22.0","35.0","40.0","73.0","139.0","263.0","341.0","292.0","206.0","148.0","73.0","66.6"
"343.0","九度山町","13.0","422.0","218.0","204.0","1.0","4.0","3.0","11.0","10.0","27.0","22.0","64.0","83.0","53.0","69.0","50.0","25.0","68.2"
"344.0","高野町","14.0","51.0","25.0","26.0","-","-","2.0","2.0","-","2.0","-","4.0","10.0","12.0","12.0","5.0","2.0","69.5"
"361.0","湯浅町","15.0","775.0","403.0","372.0","21.0","35.0","29.0","50.0","39.0","75.0","107.0","108.0","108.0","72.0","67.0","52.0","12.0","59.6"
"362.0","広川町","16.0","698.0","366.0","332.0","7.0","18.0","24.0","38.0","38.0","56.0","69.0","104.0","135.0","79.0","70.0","40.0","20.0","62.2"
"366.0","有田川町","17.0","3379.0","1775.0","1604.0","48.0","56.0","72.0","110.0","170.0","249.0","324.0","469.0","528.0","499.0","434.0","302.0","118.0","64.7"
"381.0","美浜町","18.0","148.0","79.0","69.0","1.0","2.0","7.0","1.0","2.0","10.0","10.0","21.0","31.0","22.0","22.0","17.0","2.0","66.0"
"382.0","日高町","19.0","455.0","250.0","205.0","4.0","4.0","3.0","6.0","12.0","15.0","28.0","45.0","69.0","88.0","85.0","75.0","21.0","69.9"
"383.0","由良町","20.0","297.0","159.0","138.0","1.0","1.0","13.0","9.0","4.0","10.0","26.0","59.0","51.0","47.0","36.0","27.0","13.0","66.3"
"390.0","印南町","21.0","1198.0","641.0","557.0","26.0","23.0","33.0","47.0","68.0","77.0","146.0","143.0","196.0","163.0","133.0","94.0","49.0","63.4"
"391.0","みなべ町","22.0","2427.0","1321.0","1106.0","77.0","62.0","110.0","139.0","156.0","229.0","237.0","365.0","344.0","289.0","217.0","154.0","48.0","60.4"
"392.0","日高川町","23.0","1018.0","556.0","462.0","7.0","14.0","21.0","25.0","28.0","33.0","68.0","139.0","201.0","157.0","142.0","118.0","65.0","67.7"
"401.0","白浜町","24.0","389.0","242.0","147.0","7.0","3.0","5.0","5.0","5.0","12.0","20.0","45.0","69.0","77.0","69.0","44.0","28.0","69.4"
"404.0","上富田町","25.0","484.0","298.0","186.0","9.0","8.0","10.0","17.0","16.0","26.0","45.0","69.0","78.0","62.0","56.0","54.0","34.0","65.9"
"406.0","すさみ町","26.0","98.0","58.0","40.0","1.0","-","-","1.0","1.0","4.0","5.0","16.0","12.0","26.0","15.0","12.0","5.0","69.8"
"421.0","那智勝浦町","27.0","167.0","100.0","67.0","1.0","1.0","4.0","6.0","3.0","7.0","13.0","20.0","20.0","30.0","34.0","20.0","8.0","68.5"
"422.0","太地町","28.0","5.0","2.0","3.0","-","-","-","-","-","-","-","1.0","1.0","2.0","-","-","1.0","71.8"
"424.0","古座川町","29.0","90.0","58.0","32.0","1.0","-","1.0","3.0","1.0","4.0","4.0","5.0","21.0","13.0","16.0","17.0","4.0","70.0"
"427.0","北山村","30.0","6.0","3.0","3.0","-","-","-","1.0","-","-","-","-","-","2.0","2.0","1.0","-","70.0"
"428.0","串本町","31.0","122.0","72.0","50.0","1.0","-","2.0","2.0","2.0","2.0","3.0","17.0","32.0","20.0","28.0","8.0","5.0","69.1"
